idx,brand,title,model,serie,type,engineVolume,engineType,enginePower,line,year,gearbox,km,gas,price,label,place,location
0,toyota,toyota-rav-4-1996-manual-189000-km-essence,toyota rav,4,2.0 HYBRIDE 129 GX,2.0,HYBRIDE,129,GX,1996,Manuelle,189000,Essence,5490,Analyse indisponible,Vendeur particulier,25
1,toyota,toyota-rav-4-1998-manual-124643-km-essence,toyota rav,4,2.0 HYBRIDE 129 GX,2.0,HYBRIDE,129,GX,1998,Manuelle,124643,Essence,7990,Analyse indisponible,E.P.A ESSENCE PASSION AUTOMOBILE,13
2,toyota,toyota-rav-4-1999-manual-181579-km-essence,toyota rav,4,2.0 HYBRIDE 129 GX,2.0,HYBRIDE,129,GX,1999,Manuelle,181579,Essence,5890,Analyse indisponible,P2C AUTOMOBILES,13
3,toyota,toyota-rav-4-1999-manual-327000-km-essence,toyota rav,4,2.0 HYBRIDE 129 GX,2.0,HYBRIDE,129,GX,1999,Manuelle,327000,Essence,3990,Analyse indisponible,Vendeur particulier,06
4,toyota,toyota-rav-4-ii-2000-auto-56000-km-essence,toyota rav,4 II,2.0 HYBRIDE 150 VX,2.0,HYBRIDE,150,VX,2000,Auto,56000,Essence,18900,Analyse indisponible,Vendeur particulier,51
5,toyota,toyota-rav-4-phase-2-2000-manual-243000-km-essence,toyota rav,4 phase 2,2.0 HYBRIDE 128 GX,2.0,HYBRIDE,128,GX,2000,Manuelle,243000,Essence,6200,Analyse indisponible,Vendeur particulier,93
6,toyota,toyota-rav-4-ii-phase-2-2001-manual-150000-km-diesel,toyota rav,4 II phase 2,2.0 D-4D 116 GX,2.0,D-4D,116,GX,2001,Manuelle,150000,Diesel,6585,Très bonne affaire,Vendeur particulier,78
7,toyota,toyota-rav-4-ii-2001-auto-175800-km-essence,toyota rav,4 II,2.0 HYBRIDE 150 VX,2.0,HYBRIDE,150,VX,2001,Auto,175800,Essence,7990,-,VENTE DE VEHICULES AUTOMOBILES D' OCCASIONS,94
8,skoda,skoda-octavia-phase-2-2001-manual-274400-km-diesel,skoda octavia,phase 2,1.9 TDI 110 AMBIENTE,1.9,TDI,110,AMBIENTE,2001,Manuelle,274400,Diesel,2950,Au dessus du marché,L.S.A AUTOS,49
9,toyota,toyota-rav-4-ii-2002-manual-67500-km-essence,toyota rav,4 II,2.0 HYBRIDE 150 VX,2.0,HYBRIDE,150,VX,2002,Manuelle,67500,Essence,16490,Analyse indisponible,MALVAN OCCASIONS,06
